borrower_last,builder_name,fico,forward_commitment,fund_date,loan_amount,loan_id,loan_number,purpose
Michelle Walker,,665,N,2025-01-10,2600000,658,9217337297,Purchase
Christopher Rodriguez,Jennifer Allen,721,N,2025-01-10,16150,659,6495891222,Purchase
Nancy Davis,Lisa Williams,718,N,2025-01-10,194925,660,6334534477,Purchase
Margaret King,,769,N,2025-01-03,1289719,661,3736953966,NoCash-Out Refinance
William Allen,Sandra Thompson,794,N,2025-01-10,306800,662,5928040326,Purchase
Steven Sanchez,Lisa Jones,719,N,2025-01-10,236000,663,9532329019,Purchase
David Thomas,,765,N,2025-01-10,752334,664,2483104263,Cash-Out Refinance
Charles Wilson,Nancy Scott,790,N,2025-01-10,321518,665,4874325611,Purchase
Sandra Rodriguez,William Jones,721,N,2025-01-10,546502,666,3072009026,Purchase
David Thompson,"Thomas Perez,Mark Wright",738,N,2025-01-10,1000000,667,615631321,Purchase
William Wright,Michael Allen,649,N,2025-01-10,328932,668,1143278924,Purchase
Thomas Wright,Christopher Lewis,817,N,2025-01-10,81000,669,5431874084,Purchase
Mary Lee,Robert Wilson,794,N,2025-01-10,185000,670,9019928721,Purchase
Matthew Thomas,John Rodriguez,595,N,2025-01-10,270019,671,1455397013,Purchase
Anthony Robinson,Elizabeth Gonzalez,782,N,2025-01-10,844000,672,8247100629,Purchase
Ashley Lee,Emily Allen,776,N,2025-01-10,240000,673,658146999,Purchase
Kimberly Perez,David Rodriguez,715,N,2025-01-10,291000,674,3372770524,Purchase
Joshua Young,Barbara Robinson,798,N,2025-01-06,733430,675,885672587,Purchase
Donald Brown,Lisa Wright,793,N,2025-01-07,1400000,676,6337980651,Purchase
Michelle Young,Karen Sanchez,689,N,2025-01-07,860625,677,6805665146,Purchase
Matthew White,Joseph Martinez,746,N,2025-01-07,15000,678,2623986182,Purchase
Elizabeth Hill,Ashley Jackson,664,N,2025-01-07,25000,679,8579702823,Purchase
Linda Perez,Michelle Nguyen,825,,2025-01-07,104990,680,1881877018,Cash-Out Refinance
Matthew Johnson,,686,N,2025-01-06,380545,681,7983723475,NoCash-Out Refinance
John Miller,,812,N,2025-01-06,38758.37,682,4432970782,Cash-Out Refinance
Mark Lewis,William Wright,787,N,2025-01-06,843750,683,3229544626,Purchase
Matthew Taylor,Andrew Allen,810,N,2025-01-06,650000,684,965752456,Purchase
Matthew Perez,Joshua Nguyen,739,N,2025-01-06,399000,685,9658331819,Purchase
Christopher Anderson,,772,N,2025-01-06,1387500,686,6843068707,NoCash-Out Refinance
Christopher Martinez,Steven Jones,765,N,2025-01-06,564000,687,1732073227,Purchase
Lisa Hernandez,Charles Martinez,797,N,2025-01-06,194996,688,3943729816,Purchase
John Lopez,"Michelle Martin,Mark Wright",776,N,2025-01-06,519000,689,4087451395,Purchase
Emily Jackson,Donna Nguyen,740,N,2025-01-06,382500,690,1761767328,Purchase
Steven Martin,Christopher Torres,668,N,2025-01-06,451668,691,575764659,Purchase
Susan Smith,Daniel Lopez,750,N,2025-01-06,242403,692,2874266169,Purchase
Ashley Torres,Nancy Wright,758,N,2025-01-06,392000,693,795558249,Purchase
Susan Gonzalez,Charles Wright,669,N,2025-01-07,1097520,694,5287966700,Purchase
Robert Wilson,Donald Jackson,805,N,2025-01-07,250267,695,8577987360,Purchase
Anthony Lewis,Anthony Harris,796,N,2025-01-07,570000,696,2635576901,Purchase
Susan Smith,,723,N,2025-01-07,500000,697,22466688,Purchase
Daniel Williams,"Christopher Lee,Susan Lopez",776,N,2025-01-07,176375,698,3289358511,Purchase
Steven Garcia,John Lee,702,N,2025-01-07,289656,699,3380192686,Purchase
Andrew Thomas,Michael Lewis,714,N,2025-01-07,56000,700,8804758515,Purchase
Joshua Walker,Robert Thompson,753,N,2025-01-07,373900,701,387023023,Purchase
Kimberly Perez,Joshua Lee,791,N,2025-01-07,169900,702,6380161690,Purchase
John Johnson,,741,N,2025-01-07,320000,703,6982363805,Cash-Out Refinance
Steven King,Charles Hernandez,721,N,2025-01-07,9000,704,157027073,Purchase
Joshua Perez,Barbara Williams,795,N,2025-01-07,285600,705,3578418501,Purchase
David Ramirez,Jessica Lewis,759,N,2025-01-07,799200,706,7685623130,Purchase
Joshua Gonzalez,Susan Davis,791,N,2025-01-08,460000,707,8430180360,Purchase
Paul Wilson,Margaret Garcia,673,N,2025-01-08,360900,708,8754976687,Purchase
Richard Anderson,Michael Nguyen,694,N,2025-01-08,783750,709,2313791891,Purchase
Joseph Gonzalez,Thomas Miller,784,N,2025-01-08,404160,710,5789803416,Purchase
Andrew Hill,Nancy Flores,812,N,2025-01-08,232140,711,5699704705,Purchase
Joshua Allen,Emily Lewis,739,N,2025-01-08,473500,712,1740162283,Purchase
Sandra Taylor,Margaret Allen,731,N,2025-01-08,251205,713,2346335965,Purchase
Mary Sanchez,Ashley Jackson,785,N,2025-01-08,268000,714,3314007101,Purchase
Lisa Brown,,754,N,2025-01-08,300162,715,1725789098,Cash-Out Refinance
Jennifer King,Joseph Allen,589,N,2025-01-08,265109,716,731440782,Purchase
David White,,770,N,2025-01-08,878840,717,9120366399,Cash-Out Refinance
Nancy Hernandez,Lisa Davis,738,N,2025-01-08,219900,718,9647306419,Purchase
Patricia Anderson,John Flores,711,N,2025-01-07,10000,719,749773677,Purchase
Steven Martinez,Charles Torres,796,N,2025-01-07,434800,720,8957840508,Purchase
Margaret Brown,Steven Taylor,801,N,2025-01-07,1000000,721,2400916374,Purchase
Thomas Hernandez,Charles Anderson,778,N,2025-01-07,224000,722,6245698735,Purchase
John Miller,Margaret Wilson,768,N,2025-01-07,373450,723,9711817866,Purchase
Nancy Harris,Lisa Brown,810,N,2025-01-07,360000,724,2889860817,Purchase
Patricia Wright,John Flores,792,N,2025-01-15,552000,725,5047994369,Purchase
Michelle Lewis,Emily Thompson,808,N,2025-01-15,280000,726,4332193054,Purchase
Susan Thomas,Paul Anderson,784,N,2025-01-07,234000,727,5366599953,Purchase
Mary King,Christopher Walker,765,N,2025-01-07,645250,728,5695724250,Purchase
James Rodriguez,Linda Smith,699,N,2025-01-15,930974,729,6951364015,Purchase
Michelle Lopez,Michelle Johnson,807,N,2025-01-08,169750,730,3661177061,Purchase
Christopher Anderson,Nancy Young,757,N,2025-01-08,304000,731,9099379112,Purchase
Donna Thomas,,663,N,2025-01-08,283272,732,223859812,Cash-Out Refinance
Daniel King,Paul White/Kimberly Miller,653,N,2025-01-08,433351,733,6181226147,Purchase
Donna Wilson,Lisa Thomas,811,N,2025-01-08,1298000,734,325814919,Purchase
James Torres,Joshua Williams,777,N,2025-01-08,390000,735,9013947321,Purchase
Margaret King,Patricia Rodriguez,714,N,2025-01-15,506715,736,6825571746,Purchase
Andrew Gonzalez,Jessica Lewis,746,N,2025-01-08,300000,737,5588060557,Purchase
Betty Lopez,,667,N,2025-01-08,228500,738,2216912544,NoCash-Out Refinance
Margaret Hill,Robert King,778,N,2025-01-08,520000,739,96418831,Purchase
Nancy Lopez,Ashley Davis,748,N,2025-01-15,1049384,740,973990612,Purchase
Joseph Jones,Richard Taylor,737,N,2025-01-15,679680,741,9594365479,Purchase
Emily Hernandez,Patricia Smith,804,N,2025-01-15,340000,742,8021940126,Purchase
Sandra Nguyen,"Jessica Miller,Mary Sanchez",722,N,2025-01-08,725000,743,5014350981,Purchase
Richard Jones,Michelle Walker,809,N,2025-01-15,675000,744,9589556275,Purchase
Lisa Young,Karen Moore,786,N,2025-01-08,462876,745,5784630354,Purchase
Barbara Thomas,Barbara Lee,816,N,2025-01-15,282000,746,9572523073,Purchase
Nancy Allen,Joshua Scott,776,N,2025-01-08,633937,747,3789276810,Purchase
Linda Perez,Mary Torres,763,N,2025-01-15,287999,748,1228881203,Purchase
Richard Young,William Thompson,811,N,2025-01-08,418500,749,2744038843,Purchase
James Williams,,729,N,2025-01-08,75000,750,8190566446,NoCash-Out Refinance
James Williams,,729,N,2025-01-08,93000,751,1194552971,NoCash-Out Refinance
Joseph Smith,,666,N,2025-01-08,345950,752,8953599012,Cash-Out Refinance
Richard King,Jennifer Smith,805,N,2025-01-15,232000,753,1995198149,Purchase
Susan Williams,Michelle Clark,802,N,2025-01-15,450000,754,4048734059,Purchase
Joseph Rodriguez,Andrew Sanchez,638,N,2025-01-08,319014,755,7466810316,Purchase
Barbara Martinez,Michelle Scott,782,N,2025-01-15,580500,756,6577414872,Purchase
Karen Davis,Lisa Rodriguez,718,N,2025-01-15,194900,757,3620229081,Purchase
Matthew Thomas,Jessica Gonzalez,677,N,2025-01-08,15514,758,7858746754,Purchase
Margaret Clark,Jennifer Gonzalez,688,N,2025-01-08,188888,759,6466698877,Purchase
Barbara Young,Lisa Hernandez,800,N,2025-01-08,392500,760,5653145896,Purchase
Jessica Young,"Steven Garcia,William Flores",796,N,2025-01-15,566100,761,8236948336,Purchase
Mark Scott,Barbara Jones,721,N,2025-01-15,660000,762,5737329537,Purchase
Paul Moore,Michael Rodriguez,759,N,2025-01-08,99000,763,1804820485,Purchase
Margaret Lopez,Emily Rodriguez,767,N,2025-01-08,170000,764,9985140784,Purchase
Jessica Allen,Mark Smith,683,N,2025-01-08,285950,765,5646596147,Purchase
Steven Smith,Karen Harris,767,N,2025-01-15,465600,766,4174005173,Purchase
Emily White,,797,N,2025-01-08,55000,767,3097548629,NoCash-Out Refinance
Susan Martin,,768,N,2025-01-08,615000,768,1216186536,NoCash-Out Refinance
Susan White,Karen Allen,766,N,2025-01-08,407466,769,6412276032,Purchase
Charles Torres,,625,N,2025-01-08,363044,770,4011707063,Cash-Out Refinance
John Torres,Emily Williams,792,N,2025-01-08,155000,771,5297639700,Purchase
Karen Smith,Elizabeth Flores,800,N,2025-01-15,135000,772,2290308462,Purchase
Betty Walker,,738,N,2025-01-08,1110000,773,2103875376,Cash-Out Refinance
John Anderson,Karen Lopez,810,N,2025-01-08,263250,774,7549437208,Purchase
Emily Wilson,,805,N,2025-01-08,232500,775,1502836665,Purchase
Jennifer Lewis,"Ashley Sanchez,Anthony Jackson",767,N,2025-01-08,692000,776,9720137716,Purchase
Karen Jones,"Richard Lewis,Mark Wright",747,N,2025-01-15,167600,777,8235500710,Purchase
Paul Martinez,Andrew Miller,687,N,2025-01-09,424420,778,5098213643,Purchase
Donna Thomas,James Hill,793,N,2025-01-15,227950,779,4447704124,Purchase
Joseph Perez,Mark Sanchez,771,N,2025-01-15,354319,780,9105938918,Purchase
Mary King,Susan Scott,767,N,2025-01-09,446395,781,2620243331,Purchase
Andrew Miller,Barbara Brown,785,N,2025-01-09,801220,782,711561639,Purchase
Michael Miller,,715,N,2025-01-15,293040,783,944127642,Cash-Out Refinance
John Lopez,Margaret Hernandez,752,N,2025-01-15,491200,784,9684742914,Purchase
Jennifer Wilson,Sarah Taylor,739,N,2025-01-09,352417,785,5070049042,Purchase
Anthony Anderson,Karen Robinson,804,N,2025-01-09,167040,786,8084887649,Purchase
Emily Allen,Steven Jackson,784,N,2025-01-15,739960,787,6099548161,Purchase
Paul Miller,Daniel Wright,739,N,2025-01-09,365750,788,8989966695,Purchase
Betty Anderson,Patricia Gonzalez,723,N,2025-01-16,586500,789,9166816785,Purchase
Nancy Miller,Joseph Harris,809,N,2025-01-16,462800,790,289881488,Purchase
Karen Taylor,Michelle Nguyen,757,N,2025-01-16,475950,791,4774047063,Purchase
Michelle Nguyen,,792,N,2025-01-09,1178000,792,6958219065,NoCash-Out Refinance
John Nguyen,Susan Hernandez,746,N,2025-01-09,343787,793,9538782555,Purchase
Richard King,William Torres,801,N,2025-01-16,287500,794,144743797,Purchase
Steven Lewis,Patricia Torres,781,N,2025-01-16,785000,795,25207173,Purchase
Christopher Thomas,Andrew Smith,694,N,2025-01-16,283250,796,5886092369,Purchase
Charles Garcia,Thomas Johnson,772,N,2025-01-09,195000,797,4963204744,Purchase
Andrew Thompson,Sarah Taylor,816,N,2025-01-09,346500,798,9509470684,Purchase
James Davis,Mark Anderson,763,N,2025-01-16,308000,799,3497021354,Purchase
Sarah Thompson,"Mary Davis,Susan Garcia",800,N,2025-01-16,200000,800,8562754595,Purchase
Joshua Wright,Michael King,762,N,2025-01-16,579500,801,2962880844,Purchase
Paul Nguyen,Robert Miller,754,N,2025-01-16,140000,802,3808291654,Purchase
Sandra Taylor,Matthew Flores,733,N,2025-01-09,465000,803,6854428875,Purchase
Thomas Wilson,James Davis,755,N,2025-01-09,333112,804,516550003,Purchase
Steven Jones,Joseph Thomas,795,N,2025-01-16,318937,805,7598597715,Purchase
Mary Smith,Donna Miller,799,N,2025-01-16,775000,806,3193424746,Purchase
Michael Robinson,Thomas Hernandez,729,N,2025-01-09,353000,807,5058145489,Purchase
Robert Williams,Michelle Lewis,708,N,2025-01-16,240046,808,9649866429,Purchase
Ashley Davis,Anthony Jackson,640,N,2025-01-16,353380,809,3692729901,Purchase
Kimberly Walker,Sarah Perez,661,N,2025-01-16,461800,810,9953732635,Purchase
Charles Garcia,"Michael Jackson,Emily Taylor",798,N,2025-01-16,216000,811,1454920565,Purchase
Donna King,Kimberly Taylor,631,N,2025-01-16,361334,812,9623947553,Purchase
Andrew Jackson,Daniel Young,769,N,2025-01-16,1194547,813,7014188185,Purchase
Paul Miller,,806,N,2025-01-16,317500,814,2126399867,NoCash-Out Refinance
Michael Robinson,David Martinez,785,N,2025-01-16,243117,815,6418990730,Purchase
William Thomas,Mark Lewis,636,N,2025-01-16,458150,816,1153190492,Purchase
James King,David Young,801,N,2025-01-16,378250,817,696398394,Purchase
Joseph Hernandez,Christopher Smith,808,N,2025-01-16,800000,818,1089552537,Purchase
Paul Lewis,Anthony Thomas,759,N,2025-01-16,150000,819,2639085811,Purchase
Jessica Martinez,Robert Garcia,643,N,2025-01-16,397664,820,8272408520,Purchase
Linda Garcia,,761,N,2025-01-10,113100,821,6760839465,NoCash-Out Refinance
Michael Lopez,Elizabeth Johnson,798,N,2025-01-10,320000,822,2895437389,Purchase
Steven Wright,Michelle Lee,733,N,2025-01-10,108750,823,5802332018,Purchase
John Gonzalez,Anthony Thomas,779,N,2025-01-16,255200,824,8103893319,Purchase
Nancy Hernandez,James Ramirez,791,N,2025-01-10,277500,825,9091733451,Purchase
Thomas Miller,Richard King,801,N,2025-01-10,299900,826,6078375067,Purchase
Jessica Jackson,Elizabeth Smith,773,N,2025-01-10,440000,827,6250963652,Purchase
Matthew Anderson,Donald Hill,703,N,2025-01-10,368207,828,6110767486,Purchase
Kimberly Hernandez,Lisa Anderson,729,N,2025-01-10,305600,829,4801897555,Purchase
Michael Jones,Christopher King,687,N,2025-01-10,396000,830,9201812402,Purchase
Nancy Thomas,"Joseph Martinez,Karen Gonzalez;Paul King",749,N,2025-01-10,840000,831,6855135034,Purchase
Paul Miller,Betty Scott,797,N,2025-01-10,239700,832,2834561122,Purchase
Matthew White,Mark Nguyen,793,N,2025-01-10,506250,833,1330986718,Purchase
Paul Nguyen,Joshua Hernandez,754,N,2025-01-10,134400,834,2888141881,Purchase
John Davis,Barbara Rodriguez,651,N,2025-01-10,191468,835,8259997694,Purchase
Richard Perez,Daniel Young,551,N,2025-01-16,159747,836,878768599,Purchase
Karen Jackson,Emily Hill,687,N,2025-01-10,276000,837,983717052,Purchase
Daniel Walker,Joshua Davis,627,N,2025-01-10,314204,838,9131500591,Purchase
Susan Ramirez,Charles Thompson,733,N,2025-01-10,1051846,839,7780658585,Purchase
Barbara Taylor,Richard Lopez,634,N,2025-01-10,196377,840,9419636326,Purchase
Susan Johnson,Donna Anderson,681,N,2025-01-10,387613,841,5118130715,Purchase
Sandra Thomas,"Anthony Lewis,Joseph Garcia",731,N,2025-01-09,349000,842,7639642336,Purchase
Betty Miller,Michelle Clark,799,N,2025-01-09,443727,843,5592438914,Purchase
Betty Moore,James Robinson,766,N,2025-01-09,460000,844,720598374,Purchase
Margaret Brown,"David Miller,Barbara Thomas",803,N,2025-01-09,418000,845,2503979466,Purchase
Anthony Harris,"Ashley Ramirez,Mark Wright",797,N,2025-01-09,298000,846,872057928,Purchase
Susan Anderson,Kimberly Jones,797,N,2025-01-09,873999,847,7954332056,Purchase
Mark Lopez,"Mark Jackson,John Flores",781,N,2025-01-09,656000,848,7692716359,Purchase
Jessica King,Richard Hill,787,N,2025-01-09,281300,849,9897286973,Purchase
Anthony Harris,Richard Robinson,733,N,2025-01-09,540000,850,9950047792,Purchase
Andrew Jones,Mary Thomas,773,N,2025-01-09,460000,851,1721356963,Purchase
Susan Moore,Joshua Thomas,779,N,2025-01-09,576000,852,9614828576,Purchase
Ashley Martinez,,739,N,2025-01-09,117500,853,6489901203,Cash-Out Refinance
Ashley Wilson,Susan King,810,N,2025-01-09,463250,854,4067283989,Purchase
Linda Moore,Barbara Jackson,809,N,2025-01-09,870000,855,3564017036,Purchase
Emily Young,Jennifer Robinson,697,N,2025-01-09,200000,856,1117019614,Purchase
Mark Walker,Donna Wilson,787,N,2025-01-09,912000,857,1119796139,Purchase
Andrew Walker,Richard Walker,782,N,2025-01-09,621000,858,7431681715,Purchase
Patricia Garcia,Nancy Thomas,754,N,2025-01-09,850000,859,1745026107,Purchase
Susan Johnson,"Thomas Perez,Anthony Sanchez, 2009",785,N,2025-01-09,550000,860,7916143627,Purchase
Thomas Davis,James Walker,722,N,2025-01-09,434981,861,5275527758,Purchase
Nancy Wright,Christopher Hernandez,780,N,2025-01-09,452000,862,8952408904,Purchase
Daniel Sanchez,Christopher Torres,786,N,2025-01-09,480000,863,8562643283,Purchase
James Torres,Nancy Brown,801,N,2025-01-09,650000,864,1303063400,Purchase
Joshua King,,700,N,2025-01-09,462000,865,9114750002,Cash-Out Refinance
Andrew Smith,Kimberly Sanchez,722,N,2025-01-10,251600,866,7438257795,Purchase
Joseph Rodriguez,Christopher Lewis,665,N,2025-01-16,569494,867,3182058822,Purchase
Richard Moore,"Patricia Perez,Mark Wright",798,N,2025-01-16,331130,868,4620754832,Purchase
Kimberly Gonzalez,Kimberly Rodriguez,798,N,2025-01-10,60000,869,2537248846,Purchase
Joseph Jackson,"Thomas Hernandez,Patricia Moore",730,N,2025-01-10,252500,870,6054500672,Purchase
Sandra Lee,Richard Jackson,754,N,2025-01-10,215000,871,5603084787,Purchase
John Jackson,Barbara Martin,783,N,2025-01-10,325000,872,2563671120,Purchase
Christopher Clark,Paul Rodriguez,704,N,2025-01-10,302500,873,5027018882,Purchase
Jennifer Clark,Christopher Allen,775,N,2025-01-10,745750,874,5467851129,Purchase
Matthew Thompson,,756,N,2025-01-16,595000,875,8084714611,NoCash-Out Refinance
Anthony Flores,,796,N,2025-01-16,355100,876,7836947950,NoCash-Out Refinance
Donna Hill,Donna Johnson,642,N,2025-01-10,347985,877,131889687,Purchase
Donald Wright,David Clark,770,N,2025-01-16,473409,878,4465844366,Purchase
Daniel Scott,David Allen,689,N,2025-01-10,402573,879,840660678,Purchase
Betty Jackson,,792,N,2025-01-10,584250,880,2172644099,Cash-Out Refinance
Kimberly Jackson,Lisa Johnson,766,N,2025-01-16,561825,881,1832132816,Purchase
Barbara Garcia,James Rodriguez,779,N,2025-01-16,291830,882,4088460918,Purchase
Jennifer White,,757,N,2025-01-10,625436,883,8021992071,NoCash-Out Refinance
Margaret Flores,Anthony Miller,730,N,2025-01-10,437000,884,3417971557,Purchase
Emily White,David Martin,743,N,2025-01-10,150350,885,1248435064,Purchase
Karen Jackson,"Lisa Rodriguez,Joseph Garcia",682,N,2025-01-16,125100,886,3210726540,Purchase
David Scott,"Susan Jackson,Donald Taylor",681,N,2025-01-16,344250,887,1963543194,Purchase
Michael Torres,,677,N,2025-01-17,472120,888,1337797004,Cash-Out Refinance
Kimberly Lee,Donna Sanchez,739,N,2025-01-08,189000,889,9022823602,Purchase
Lisa King,,742,N,2025-01-10,1550000,890,7977566452,Cash-Out Refinance
Barbara Jones,Kimberly Johnson,698,N,2025-01-10,218500,891,9817758050,Purchase
Sandra Clark,"Nancy Harris,Emily Scott",756,N,2025-01-08,765000,892,9971751612,Purchase
Donald Smith,Robert Taylor,729,N,2025-01-08,805500,893,728877706,Purchase
Ashley Johnson,Margaret Smith,758,N,2025-01-09,184100,894,6385180010,Purchase
Thomas Rodriguez,,779,N,2025-01-10,694500,895,7832402902,NoCash-Out Refinance
Lisa Wright,Joseph Johnson,680,N,2025-01-10,383062,896,367145942,Purchase
Kimberly Harris,Nancy King,773,N,2025-01-10,496290,897,2672393660,Purchase
Patricia Nguyen,"Susan Gonzalez,Charles Rodriguez",767,N,2025-01-10,142500,898,7119316025,Purchase
Ashley Perez,Linda White,728,N,2025-01-10,533398,899,2629493765,Purchase
Steven Ramirez,Nancy Scott,671,N,2025-01-10,180000,900,587019239,Purchase
Robert Jones,Michael Young,730,N,2025-01-10,243749,901,5063022471,Purchase
Karen Young,"Robert Martin,Mark Wright",661,N,2025-01-10,265821,902,4360758931,Purchase
John Hill,Sandra Perez,812,N,2025-01-10,538200,903,4045606011,Purchase
Andrew Martin,Mark Wright,776,N,2025-01-10,281000,904,7900111291,Purchase
Richard Moore,Michael Jackson,761,N,2025-01-10,600000,905,1778705882,Purchase
Paul Davis,Betty Taylor,807,N,2025-01-10,471200,906,9319350641,Purchase
Andrew Taylor,"Joshua Taylor,Joseph Garcia",734,N,2025-01-10,180000,907,1239004144,Purchase
Joseph Robinson,Daniel Hill,810,N,2025-01-10,517500,908,6470141854,Purchase
James Walker,Barbara Nguyen,779,N,2025-01-10,1036000,909,96742070,Purchase
Jessica King,Nancy Wilson,786,N,2025-01-10,454805,910,4644264861,Purchase
Anthony Moore,Nancy Martinez,771,N,2025-01-10,317000,911,5897270368,Purchase
Donna King,Anthony Martinez,772,N,2025-01-10,1068000,912,5103760818,Purchase
Paul Wright,Nancy Wilson,783,N,2025-01-10,958391,913,1801652809,Purchase
Michael Johnson,Donald Harris,796,N,2025-01-10,378026,914,7063482556,Purchase
Barbara Johnson,Mary Torres,712,N,2025-01-10,650750,915,6598810799,Purchase
Michelle Anderson,John White,792,N,2025-01-10,617499,916,5512545430,Purchase
Christopher Lee,Christopher Martin,726,N,2025-01-10,299376,917,3868634719,Purchase
Steven Smith,,763,N,2025-01-10,60750,918,6583148279,Cash-Out Refinance
Nancy Torres,Robert Hill,743,N,2025-01-10,235000,919,5390973007,Purchase
Michael Allen,Patricia Brown,712,N,2025-01-10,739018,920,7890996713,Purchase
Linda Allen,Elizabeth Taylor,787,N,2025-01-10,525030,921,6510090671,Purchase
Emily White,Ashley Harris,775,N,2025-01-10,345000,922,5644442818,Purchase
Christopher Wilson,Thomas Sanchez,796,N,2025-01-10,234242,923,2800448904,Purchase
Mary Thompson,Karen Hill,623,N,2025-01-10,87878,924,4699710396,Purchase
Nancy Taylor,,823,N,2025-01-10,290000,925,1936956712,NoCash-Out Refinance
Steven King,Jennifer Lee,763,N,2025-01-10,125000,926,3556350528,Purchase
Paul Thompson,Mary Nguyen,761,N,2025-01-10,376000,927,1477930484,Purchase
Patricia White,Susan Flores,750,N,2025-01-10,956250,928,9798768841,Purchase
Charles Brown,Richard Nguyen,662,N,2025-01-02,204232,929,6552172178,Purchase
Michael Nguyen,,741,N,2025-01-02,161000,930,9025061642,NoCash-Out Refinance
Michelle Torres,Paul Hernandez,713,N,2025-01-02,215000,931,3216875613,Purchase
Elizabeth Wilson,Elizabeth Allen,807,N,2025-01-10,370499,932,7488779007,Purchase
Nancy Wilson,,738,N,2025-01-10,332800,933,9010386769,NoCash-Out Refinance
Karen Perez,Betty Lewis,790,N,2025-01-10,954400,934,5677408867,Purchase
Nancy Gonzalez,Susan Flores,810,N,2025-01-10,295000,935,3699247507,Purchase
Thomas Hernandez,Michelle Harris,730,N,2025-01-10,35000,936,4448943691,Purchase
Paul Rodriguez,Charles Rodriguez,775,N,2025-01-10,199920,937,410990684,Purchase
Andrew Flores,,796,N,2025-01-13,384887,938,308931809,NoCash-Out Refinance
Linda Jones,,817,N,2025-01-13,75000,939,168501260,Cash-Out Refinance
Sarah Jones,Barbara Young,740,N,2025-01-13,365750,940,690214964,Purchase
Mary Anderson,,702,N,2025-01-13,268800,941,8242245980,NoCash-Out Refinance
Donald Garcia,Joseph Gonzalez,809,N,2025-01-13,268000,942,3971161400,Purchase
Linda Garcia,Lisa Miller,607,N,2025-01-13,248168,943,5164574335,Purchase
Matthew King,Christopher Allen,714,N,2025-01-13,1080000,944,9684972317,Purchase
Mark Scott,Margaret Hernandez,793,N,2025-01-13,600000,945,9671411249,Purchase
Mary Walker,Andrew Williams,670,N,2025-01-13,719000,946,4012782652,Purchase
Karen Johnson,Betty Walker,652,N,2025-01-13,366198,947,1845965466,Purchase
Donna Clark,Donald Hill,777,N,2025-01-13,172000,948,6319015253,Purchase
Michelle Moore,Karen Lee,774,N,2025-01-13,242460,949,7033618519,Purchase
Joshua Harris,,692,N,2025-01-13,750000,950,3906498947,NoCash-Out Refinance
Karen Johnson,Betty Walker,652,N,2025-01-13,35000,951,5569435015,Purchase
Sarah Lee,Barbara Jackson,750,N,2025-01-13,120000,952,7597396570,Purchase
Robert Nguyen,Daniel Anderson,681,N,2025-01-13,251500,953,2509133978,Purchase
Michelle Moore,Sandra Davis,790,N,2025-01-13,675000,954,6087505108,Purchase
Steven Clark,"Joseph Flores,Joseph Garcia",774,N,2025-01-13,272250,955,7463726548,Purchase
Sandra Hill,Mark Torres,810,N,2025-01-13,640000,956,9676514144,Purchase
Joseph Smith,William Gonzalez,746,N,2025-01-13,209000,957,1733890205,Purchase
Anthony Harris,Susan Hernandez,808,N,2025-01-13,565000,958,3326993136,Purchase
Elizabeth Martinez,Michelle Allen,796,N,2025-01-13,271960,959,117069629,Purchase
Sarah Harris,,780,N,2025-01-13,1100000,960,8257668661,NoCash-Out Refinance
Ashley Davis,,506,N,2025-01-13,468531,961,6146830175,NoCash-Out Refinance
Karen Harris,,785,N,2025-01-13,136500,962,353291307,NoCash-Out Refinance
David Smith,,788,N,2025-01-13,780300,963,6785181737,NoCash-Out Refinance
Patricia Rodriguez,Richard White,770,N,2025-01-13,366000,964,6957417190,Purchase
Elizabeth Torres,Ashley Perez,722,N,2025-01-13,423500,965,5195831948,Purchase
Andrew Lee,,653,N,2025-01-13,187250,966,6830654421,Cash-Out Refinance
Mark Garcia,John Wilson,737,N,2025-01-13,305000,967,4558814942,Purchase
Steven Flores,Betty Martinez,684,N,2025-01-14,562500,968,9586640749,Purchase
Paul Thomas,Donald White,798,N,2025-01-14,1616000,969,6060895636,Purchase
Anthony Robinson,Mary Jackson,640,N,2025-01-14,496133,970,2040251797,Purchase
Jessica Smith,Mark Robinson,746,N,2025-01-14,208000,971,9576714842,Purchase
Michael Jackson,Anthony Allen,686,N,2025-01-14,211200,972,6677279390,Purchase
Donald Perez,,762,N,2025-01-14,930000,973,7118238811,NoCash-Out Refinance
Kimberly Thomas,Donna Sanchez,781,N,2025-01-14,760000,974,1075079048,Purchase
Charles Gonzalez,Emily Rodriguez,620,N,2025-01-14,176641,975,9374520558,Purchase
William Jones,"Anthony Davis,Robert Davis",787,N,2025-01-14,806500,976,8432297681,Purchase
Jessica Wright,Joseph Davis,767,N,2025-01-14,340000,977,451210406,Purchase
Robert Young,Mark Miller,782,N,2025-01-14,157102,978,6355813132,Purchase
Christopher Miller,Linda Lopez,788,N,2025-01-14,576000,979,9811561205,Purchase
David Scott,Linda Martinez,758,N,2025-01-14,449000,980,6338373162,Purchase
James Taylor,Anthony Moore,747,N,2025-01-14,1610000,981,412774157,Purchase
Margaret Walker,Elizabeth Nguyen,752,N,2025-01-14,309000,982,8497346615,Purchase
Donna Hernandez,Mark Allen,709,N,2025-01-07,370758,983,4563746453,Purchase
Susan Miller,,747,N,2025-01-07,130000,984,8532489778,Purchase
Charles Martinez,Donna Young,724,N,2025-01-07,261750,985,866394401,Purchase
David Johnson,Margaret King,740,N,2025-01-07,576650,986,8702812871,Purchase
